Name,Aa,Bb,Cc,Dd,,Ee,Ff,Gg,Hh,Ii,Stromproduktion_PV_[kWh/Jahr],Selbstversorgungsgrad_Strom,Investitionskosten_[EUR]
run10031,3.504,1.046,A,0.05572,run10031,0.419,168491.4,1388.9,40794.4,214808,70822.2,0.1957,0.07678
run10032,11.1,3.089,A,0.09468,run10032,2.233,173088,11537.6,25785.5,215038.5,13348.3,0.17,0.02062
run10033,10.8,0.5976,A,0.1288,run10033,1.655,173458,2389.6,49181,229051.2,70967.9,0.2386,0.02272
run10034,8.458,4.828,A,0.07722,run10034,2.289,165595,31350.3,22313.7,224324.4,625,0.07134,0.0408
run10035,1.205,2.139,A,0.04929,run10035,0.5089,151164.6,3273.7,30933.8,188998.1,45532.5,0.1901,0.08754
run10036,9.838,4.083,A,0.02547,run10036,2.322,169823,21816.4,23447.7,219883.5,3782.4,0.1303,0.03012
run10038,12.98,1.521,A,0.1933,run10038,2.26,174907,4449.3,34339.7,218050.1,47365.2,0.1855,0.005196
run10039,10.15,1.045,A,0.1735,run10039,1.712,163710.9,2766.2,39834,210382.1,74890.9,0.1946,0.03271
run10040,9.191,2.672,A,0.09055,run10040,1.905,166268,7542.7,27343.2,205324.1,22884.7,0.1799,0.03523
run10041,7.22,3.774,A,0.04266,run10041,1.802,157861,16666.5,24104.6,203158.8,9597.2,0.1456,0.05269
run10042,2.993,4.583,A,0.1459,run10042,1.199,158843.8,24632.5,23306.1,211822.6,2507.6,0.09302,0.07964
run10043,11.03,4.105,A,0.0491,run10043,2.492,171972,23002.8,23380.9,223082,3365.5,0.129,0.02084
run10044,10.43,4.598,A,0.06947,run10044,2.572,169048,28986,22479.6,225761.1,1240.6,0.09325,0.02609
run10045,10.64,3.759,A,0.02506,run10045,2.361,165673,17942.6,23908.7,212298.2,7989.2,0.1471,0.0243
run10046,8.36,3.006,A,0.01995,run10046,1.84,170813,9538.1,26210.7,210669.1,16539,0.1727,0.04105
run10048,9.712,4.267,A,0.1132,run10048,2.336,165865,23833.1,23059.8,217649.4,2985.9,0.119,0.03138
run10049,8.176,3.72,A,0.007448,run10049,1.949,157434.8,16600.1,24168.9,202699.2,10813.2,0.1481,0.04679
run10050,9.598,1.495,A,0.1509,run10050,1.638,171761,3465.7,34716.5,213956,51613.8,0.1861,0.03142
run10051,2.975,1.499,A,0.09784,run10051,0.4626,161091.6,2044.1,35397.8,202323.6,61239.4,0.1868,0.08019
run10052,10.25,3.212,A,0.026,run10052,2.219,174232,12432.4,25462.5,216450.3,12168.3,0.1668,0.02632
r2n10001,11.14,3.29,A,0.1754,r2n10001,2.262,175306,13743.4,25212,218582.9,10717.9,0.1647,0.01959
r2n10003,7.661,1.132,A,0.1518,r2n10003,1.255,168550.7,2216.4,39117.1,214139.7,64274.8,0.1923,0.04748
r2n10005,6.006,1.679,A,0.1293,r2n10005,1.052,166974.5,3040.6,33285.1,207107.1,51027.1,0.1867,0.05769
r2n10006,6.063,4.363,A,0.1367,r2n10006,1.697,164803.5,23253.1,23245.6,216182.2,2761.3,0.1109,0.05911
r2n10007,7.157,1.937,A,0.05674,r2n10007,1.323,163175.3,3920.7,31190.7,202267,43977.2,0.1871,0.05034
r2n10008,12.03,4.859,A,0.1525,r2n10008,2.83,180241,34361.8,22147.7,241748.7,217.6,0.06817,0.01259
r2n10009,6.345,4.132,A,0.1825,r2n10009,1.701,165996.9,20315.6,23658.6,214506.3,4015.1,0.1266,0.05637
r2n10010,9.158,3.264,A,0.1821,r2n10010,2.047,173389,12297,25381,215347,11696.9,0.1654,0.03465
r2n10013,12.39,1.073,A,0.05587,r2n10013,2.062,167306,3235.1,39614.7,213987.5,62707.3,0.1949,0.01008
r2n10027,9.925,1.436,A,0.06848,r2n10027,1.747,165741,3422.3,35279.7,208332,53993.3,0.1869,0.02938
r2n10030,7.875,3.507,A,0.07694,r2n10030,1.874,163882,13758.4,24781.6,206783.6,10080.1,0.1577,0.04525
r2n10031,8.609,1.265,A,0.08261,r2n10031,1.471,170096.8,2623.5,37359.1,214421.6,59275.8,0.1884,0.04034
r2n10032,9.308,4.708,A,0.07013,r2n10032,2.411,176782,30365.1,22495.5,234468.9,624.5,0.08233,0.03365
r2n10033,8.483,4.879,A,0.1149,r2n10033,2.306,174151,32330.8,22322.2,233798.5,293,0.06497,0.03986
r2n10034,8.449,4.388,A,0.1314,r2n10034,2.177,172162,25083.4,23016.8,224962.3,1854.3,0.1097,0.04022
r2n10035,9.311,3.95,A,0.005329,r2n10035,2.214,161385.5,19588.2,23669.2,209187.3,6489.1,0.1379,0.03451
r2n10036,2.53,4.185,A,0.03896,r2n10036,1.078,159122.5,19173.7,24159.8,207042,4784.5,0.1231,0.08448
r2n10037,6.958,2.697,A,0.05669,r2n10037,1.448,168953,6935.3,27380.2,207262.6,23575.9,0.1793,0.0513
r2n10038,11.29,0.5492,A,0.1736,r2n10038,1.662,172007,2475.4,50058,228286.9,73347.6,0.2458,0.01847
r2n10039,6.92,0.89,A,0.1068,r2n10039,1.038,165445.5,1734.7,42938.2,213814.9,71430.5,0.2054,0.05144
r2n10040,2.102,2.5,A,0.1342,r2n10040,0.6528,161630.8,4683.9,28991.6,199224.2,33185.7,0.1829,0.08628
r2n10041,12.81,1.653,A,0.1468,r2n10041,2.274,175493,4848,33107.1,217358.2,44124.1,0.1862,0.006291
r2n10042,11.68,3.731,A,0.1001,r2n10042,2.439,178213,18846.5,24093.8,225786,5822,0.148,0.01534
r2n10044,2.418,1.725,A,0.1911,r2n10044,0.4863,163424.6,2402.3,33499.4,203122.6,53809.5,0.1873,0.08247
r2n10045,11.03,0.5638,A,0.1686,r2n10045,1.667,165990,2448.5,49836,222094.5,73858.5,0.2435,0.02087
r2n10046,2.271,1.044,A,0.05059,r2n10046,0.319,160776,1230,40954.5,206584.5,76015.1,0.1965,0.08525
r2n10047,2.694,3.759,A,0.185,r2n10047,0.9887,160243.2,14174.4,24927.1,203798.9,8611.5,0.1463,0.08265
r2n10048,9.003,2.373,A,0.04375,r2n10048,1.775,162363.3,5995.3,28473.7,201233.6,36958.7,0.1826,0.04132
r2n10049,9.772,3.479,A,0.0327,r2n10049,2.149,173658,14877.5,24771.1,217693.9,9190.5,0.1583,0.02999
r2n10050,6.653,3.875,A,0.1997,r2n10050,1.685,169690,17455.1,24135.8,215815.5,6046,0.1406,0.05388
r2n10052,12.06,3.548,A,0.03194,r2n10052,2.533,172610,16425.8,24418.7,218422,7955.6,0.156,0.01308
r2n10054,2.014,1.752,A,0.08794,r2n10054,0.4551,168127.8,2441.7,33365.1,208239,52260.9,0.1866,0.08728
r2n10056,6.852,2.689,A,0.06669,r2n10056,1.414,161712.2,6786.7,27453.3,199923,24703.8,0.1797,0.05306
r2n10057,12.56,1.304,A,0.03815,r2n10057,2.155,162753,3766.6,36488.7,206843.4,63615.3,0.1871,0.008575
r2n10058,1.838,1.672,A,0.01349,r2n10058,0.4288,166387.1,2218.6,34106.7,206987,55135.7,0.1868,0.08884
r2n10059,2.621,2.053,A,0.1817,r2n10059,0.5558,156380.1,3255.7,31105.6,194605.9,45507,0.188,0.08244
r2n10060,8.285,4.851,A,0.1761,r2n10060,2.289,168940,31592.2,22287.2,228081.4,525,0.06843,0.0422
r2n10061,2.98,3.595,A,0.09671,r2n10061,0.957,154454,12545.5,25114.6,196375.9,13065.9,0.1543,0.07661
r2n10062,11.55,1.325,A,0.0786,r2n10062,1.864,171274,3561.8,36446.8,215298.2,54300.3,0.1882,0.01655
r2n10063,3.547,2.372,A,0.07088,r2n10063,0.7234,163986.5,4555.7,29229.1,201682.9,35135.6,0.1838,0.0754
r2n10064,8.339,3.491,A,0.02916,r2n10064,1.945,165751,13862,24805.7,208858.4,9697.2,0.1581,0.04171
r2n10065,10.24,4.581,A,0.1474,r2n10065,2.546,169425,28797.7,22613.9,225847.4,1117.5,0.09476,0.02721
r2n10066,10.63,2.887,A,0.1618,r2n10066,2.176,172315,9791,26503.5,212934.8,17406,0.1748,0.0237
r2n10067,7.197,3.568,A,0.02888,r2n10067,1.736,165412.5,14232.7,24750.2,208746.2,9282.5,0.155,0.04985
r2n10068,2.389,4.421,A,0.1294,r2n10068,1.131,152993.2,22100.7,23694.6,203617,3825.1,0.1076,0.07885
r2n10069,10.66,4.353,A,0.07536,r2n10069,2.536,178561,26233.2,22927.2,232522.7,1950.4,0.1119,0.02326
r2n10070,12,1.565,A,0.1921,r2n10070,2.038,169193,4254.8,33912.1,211455.4,48425.4,0.1858,0.01303
r2n10071,3.849,3.938,A,0.125,r2n10071,1.116,166810,16765.9,24347.2,212795.4,6289.1,0.1366,0.07539
r2n10072,10.36,3.719,A,0.02214,r2n10072,2.35,175857,17858.2,24199.1,222455.3,6193.5,0.1488,0.02548
r2n10073,2.229,2.507,A,0.1613,r2n10073,0.6502,167098.8,4773.4,28909.3,205186.4,31910.1,0.1817,0.08652
r2n10075,11.44,4.558,A,0.1094,r2n10075,2.631,176180,29523,22598.6,233132.1,1113.4,0.0965,0.01748
r2n10076,1.984,3.945,A,0.1985,r2n10076,0.9844,157724.6,15778.9,24667.4,202900.7,7883.7,0.1378,0.08524
r2n10077,11.04,2.184,A,0.1285,r2n10077,1.991,172296,6229.9,29530.2,212033.2,32553.3,0.1858,0.02036
r2n10078,2.61,3.997,A,0.1867,r2n10078,1.044,153764.2,16825.8,24364.7,199597.3,8159.5,0.1353,0.07669
r2n10079,6.427,2.796,A,0.05858,r2n10079,1.378,160841.5,7203.5,26978.2,199117.1,23532.9,0.1778,0.056
r2n10080,9.445,4.851,A,0.1486,r2n10080,2.434,175859,32402.3,22265.3,236077.5,418,0.0683,0.03401
r2n10081,11.24,4.753,A,0.07204,r2n10081,2.632,174422,32043.2,22227.7,234161.7,587,0.07907,0.01969
r2n10082,10.97,3.671,A,0.1044,r2n10082,2.384,175720,17618.5,24235.1,222455.6,6603.3,0.1501,0.02156
r2n10083,12.27,4.997,A,0.06115,r2n10083,2.921,183683,36774.1,21936.8,248046.6,65.71,0.05274,0.01102
r2n10084,6.617,0.8792,A,0.1224,r2n10084,0.9918,158906,1683,43144.8,207302.8,76935.6,0.2073,0.05402
r2n10085,10.78,3.707,A,0.1297,r2n10085,2.357,166521,17402.5,24097.4,212620,7890.7,0.1496,0.02295
r2n10086,8.107,4.794,A,0.1235,r2n10086,2.192,156985.1,30823.8,22337.4,215169.4,1167.1,0.07348,0.04598
r2n10087,1.381,4.073,A,0.06933,r2n10087,0.9791,157383.1,17272.9,24689.8,203877.4,6319.2,0.1304,0.0916
r2n10088,6.577,3.95,A,0.1523,r2n10088,1.686,158309.5,18362.2,23797,205367.4,8528,0.1367,0.05738
r2n10089,8.493,3.203,A,0.149,r2n10089,1.874,156995,10999.1,25489.5,197608.5,16575.3,0.1677,0.04126
r2n10090,6.195,2.663,A,0.0807,r2n10090,1.296,172409.9,6532.7,27645.8,211122.4,24190.2,0.1788,0.05803
r2n10091,3.005,4.6,A,0.03933,r2n10091,1.203,160431.9,24949.7,23377.1,213630.2,1812.2,0.09145,0.08104
r2n10092,7.473,4.128,A,0.1953,r2n10092,1.955,163843,20886.6,23518.5,212908.6,4092.4,0.1274,0.04838
r2n10093,7.749,4.882,A,0.1425,r2n10093,2.152,174120,31762.6,22342.3,233748.3,426.3,0.06464,0.04676
r2n10094,1.936,1.1,A,0.01255,r2n10094,0.3203,160207.9,1290.4,40219.7,205429.2,73428.2,0.1948,0.08693
r2n10095,7.282,4.276,A,0.1504,r2n10095,1.945,156045.3,22942.7,23161.5,206840.1,4810,0.117,0.05275
r2n10097,3.035,3.926,A,0.1584,r2n10097,1.043,166258.4,16250.3,24548.6,212002.8,6620.6,0.137,0.08188
r2n10098,9.575,4.774,A,0.04466,r2n10098,2.439,160803.7,31425.8,22237.4,219609.9,1163.4,0.0764,0.03378
r2n10099,6.719,3.362,A,0.01811,r2n10099,1.58,162734.2,11755.5,25284.1,204094.3,12264.3,0.1625,0.05406
r2n10100,8.87,1.853,A,0.09915,r2n10100,1.613,163923,4110.3,31595.8,203720.9,46453,0.187,0.0379

