Name,Glasanteil_Süd_[%],Klimaszenario,Glasanteil_WestOst_[%],Glasanteil_Nord_[%],Produktwahl_Verglasung,Produktwahl_Verschattung,Dämmstärke_[m],Glasanteil_Nord_[%],VolSpez_Wärmekap_[kJ/m3K],Klimaszenario,,Anteil_Unzufrieden_[%],Tageslichtfaktor_[%],Kühlenergie_[kWh/Jahr],Heizenergie_[kWh/Jahr],Investitionskosten_[EUR],Energie_Kunstlicht_[kWh/Jahr],Primärenergie_Total_[kWh/Jahr],Betriebskosten_[EUR/Jahr],Investitionskosten_[EUR],Heizenergie_[kWh/Jahr]
run10011,92.87,2000 Durchschnittsjahr,33.8,71.14,SunGuard 3-fach Argon U=0.6 g=18%,<value not set>,0.1972,71.14,1368.8,2000 Durchschnittsjahr,run10011,7.441,1.668,28021.2,77672.9,556352.1,13200.8,215783.5,32147.7,556352.1,77672.9
run10012,26.32,2060 warmer Sommer mit Klimaschutz,59.87,63.45,Q-Air 4-fach Krypton U=0.3 g=20%,ROLLER-SHADE,0.1993,63.45,1477,2060 warmer Sommer mit Klimaschutz,run10012,7.328,1.601,46789.2,69271.7,569249,13492.1,217409.9,33136.7,569249,69271.7
run10013,80.92,2060 Durchschnittsjahr mit Klimaschutz,28.35,78.15,Standard 2-fach Argon U=1.1 g=34%,ROLLER-SHADE,0.1894,78.15,785.3,2060 Durchschnittsjahr mit Klimaschutz,run10013,7.345,1.506,34946.2,71722,549286.9,14107.8,214349.3,32385.6,549286.9,71722
run10014,75.71,2060 warmer Sommer mit Klimaschutz,19.89,23.04,Q-Air 4-fach Krypton U=0.3 g=20%,ROLLER-SHADE,0.1092,23.04,597.7,2060 warmer Sommer mit Klimaschutz,run10014,7.37,0.9438,41320.3,75883.2,516488.2,16859,228280.5,34531.9,516488.2,75883.2
run10015,40.14,2060 Durchschnittsjahr mit Klimaschutz,72.45,39.5,SunGuard 3-fach Argon U=0.6 g=23%,<value not set>,0.1968,39.5,2527.3,2060 Durchschnittsjahr mit Klimaschutz,run10015,7.385,1.661,39003.8,72450.4,588534.9,13096.7,215853.1,32594,588534.9,72450.4
run10016,32.97,2060 Durchschnittsjahr mit Klimaschutz,5.169,0.03541,SunGuard 3-fach Argon U=0.6 g=23%,SCREEN-SHADE,0.1428,0.03541,964.5,2060 Durchschnittsjahr mit Klimaschutz,run10016,7.405,0.1964,27217.4,60942.7,460584,26472,218786.3,34074.9,460584,60942.7
run10017,98.12,2060 Durchschnittsjahr mit Klimaschutz,22.63,65.41,SunGuard 3-fach Argon U=0.6 g=23%,SCREEN-SHADE,0.1494,65.41,652.3,2060 Durchschnittsjahr mit Klimaschutz,run10017,7.353,1.44,34973.4,75451.4,544688.1,14405.5,219460.7,32990.1,544688.1,75451.4
run10018,86.74,2060 Durchschnittsjahr mit Klimaschutz,26.13,83.9,SunGuard 3-fach Argon U=0.6 g=18%,<value not set>,0.1465,83.9,2240.5,2060 Durchschnittsjahr mit Klimaschutz,run10018,7.407,1.751,34661.4,78882.5,564747.3,13989.2,222708.4,33286.1,564747.3,78882.5
run10019,92.75,2060 warmer Sommer mit Klimaschutz,44.34,89.22,SGG Planitherm 3-fach Argon U=0.7 g=42%,<value not set>,0.1093,89.22,72.16,2060 warmer Sommer mit Klimaschutz,run10019,7.356,2.204,53394.6,88581.7,569625.8,12122.2,242509.9,36022.3,569625.8,88581.7
run10020,28.5,2060 Durchschnittsjahr mit Klimaschutz,13.44,27.8,Q-Air 4-fach Krypton U=0.3 g=20%,<value not set>,0.1676,27.8,1693.7,2060 Durchschnittsjahr mit Klimaschutz,run10020,7.38,0.5445,27803.5,60247.3,486046.2,23369,212716.9,33046.9,486046.2,60247.3
run10021,32.22,2060 warmer Sommer mit Klimaschutz,67.1,46.44,SGG Planitherm 3-fach Argon U=0.7 g=42%,SCREEN-SHADE,0.1462,46.44,1753.9,2060 warmer Sommer mit Klimaschutz,run10021,7.369,1.656,48061.1,75817.9,580998.8,13155.8,225567.6,34052.3,580998.8,75817.9
run10022,17.65,2060 warmer Sommer mit Klimaschutz,83.77,25.57,Standard 2-fach Argon U=1.1 g=34%,SCREEN-SHADE,0.1001,25.57,1037.7,2060 warmer Sommer mit Klimaschutz,run10022,7.443,1.567,49535.3,86660.8,584893.5,12989.1,239401.7,35626,584893.5,86660.8
run10023,63.47,2060 Durchschnittsjahr mit Klimaschutz,38.8,73.77,SGG Planitherm 3-fach Argon U=0.7 g=42%,ROLLER-SHADE,0.1143,73.77,1640.1,2060 Durchschnittsjahr mit Klimaschutz,run10023,7.469,1.601,34552.9,86205.1,559254,13937.8,231509.7,34251.9,559254,86205.1
run10024,6.195,2060 warmer Sommer mit Klimaschutz,1.49,95.72,SunGuard 3-fach Argon U=0.6 g=23%,<value not set>,0.1021,95.72,1902.5,2060 warmer Sommer mit Klimaschutz,run10024,7.556,0.5602,36591.1,83433.3,479526.3,23296,246245.8,37118.4,479526.3,83433.3
run10025,58.52,2000 Durchschnittsjahr,17.35,75.53,SGG Planitherm 3-fach Argon U=0.7 g=42%,ROLLER-SHADE,0.1434,75.53,1197,2000 Durchschnittsjahr,run10025,7.556,1.187,23358.2,81753.6,514119.2,15735,222535,33016.4,514119.2,81753.6
run10026,12.45,2060 warmer Sommer mit Klimaschutz,91.7,15.39,SunGuard 3-fach Argon U=0.6 g=23%,ROLLER-SHADE,0.1936,15.39,2124.3,2060 warmer Sommer mit Klimaschutz,run10026,7.324,1.421,50982.5,68988,601916.5,12928.9,218574,33368.6,601916.5,68988
run10027,40.1,2060 Durchschnittsjahr mit Klimaschutz,75.3,77.9,SunGuard 3-fach Argon U=0.6 g=18%,<value not set>,0.1073,77.9,277.9,2060 Durchschnittsjahr mit Klimaschutz,run10027,7.457,2.315,41425.1,93901.1,577023.9,12154.9,241828.5,35458.5,577023.9,93901.1
run10028,51.08,2060 Durchschnittsjahr mit Klimaschutz,90.39,12.92,Q-Air 4-fach Krypton U=0.3 g=20%,SCREEN-SHADE,0.1078,12.92,973.3,2060 Durchschnittsjahr mit Klimaschutz,run10028,7.46,1.806,42347,88053.6,601800.9,12284.8,235467.6,34806.6,601800.9,88053.6
run10029,98.53,2060 warmer Sommer mit Klimaschutz,68.21,79.51,SGG Planitherm 3-fach Argon U=0.7 g=42%,ROLLER-SHADE,0.1352,79.51,1879.3,2060 warmer Sommer mit Klimaschutz,run10029,7.387,2.581,56939.5,85638.5,642492.2,10939.9,238906.8,35622.5,642492.2,85638.5
run10030,7.692,2060 warmer Sommer mit Klimaschutz,67.88,73.64,SGG Planitherm 3-fach Argon U=0.7 g=42%,ROLLER-SHADE,0.1357,73.64,2236.8,2060 warmer Sommer mit Klimaschutz,run10030,7.422,1.66,47185,80600.8,573753.2,13365.3,231269.7,34674.7,573753.2,80600.8
run10031,86.61,2060 warmer Sommer mit Klimaschutz,11.23,73.24,SGG Planitherm 3-fach Argon U=0.7 g=42%,ROLLER-SHADE,0.1273,73.24,2662.2,2060 warmer Sommer mit Klimaschutz,run10031,7.385,1.271,42059.3,76145.4,547841.1,15466.6,226530.9,34197.3,547841.1,76145.4
run10032,28.93,2060 warmer Sommer mit Klimaschutz,0.9828,92.23,SunGuard 3-fach Argon U=0.6 g=18%,ROLLER-SHADE,0.143,92.23,345.7,2060 warmer Sommer mit Klimaschutz,run10032,7.384,0.9368,37502.7,70171.6,457966.2,20175,224976.8,34415.4,457966.2,70171.6
run10033,91.53,2000 Durchschnittsjahr,22.24,33.07,SunGuard 3-fach Argon U=0.6 g=23%,SCREEN-SHADE,0.1029,33.07,832.1,2000 Durchschnittsjahr,run10033,7.553,1.167,24704.3,90412.6,548675.7,15120.3,232822.3,34137,548675.7,90412.6
run10034,38.39,2060 Durchschnittsjahr mit Klimaschutz,63.49,15.05,SGG Planitherm 3-fach Argon U=0.7 g=42%,SCREEN-SHADE,0.1839,15.05,1383,2060 Durchschnittsjahr mit Klimaschutz,run10034,7.353,1.314,35977.7,67603.6,557699.3,14390.1,210446.9,32029.6,557699.3,67603.6
run10035,15.74,2060 Durchschnittsjahr mit Klimaschutz,95.37,91.71,SGG Planitherm 3-fach Argon U=0.7 g=42%,SCREEN-SHADE,0.1309,91.71,1008.8,2060 Durchschnittsjahr mit Klimaschutz,run10035,7.52,2.417,43840.2,93177.7,601641.9,11451,241130.7,35393.8,601641.9,93177.7
run10036,68.07,2060 warmer Sommer mit Klimaschutz,60.77,29.64,Q-Air 4-fach Krypton U=0.3 g=20%,SCREEN-SHADE,0.1699,29.64,2119.5,2060 warmer Sommer mit Klimaschutz,run10036,7.304,1.665,49364.4,70575.8,596892.8,12910.3,219499.1,33401.9,596892.8,70575.8
run10037,51.74,2000 Durchschnittsjahr,15.48,89.23,SunGuard 3-fach Argon U=0.6 g=23%,ROLLER-SHADE,0.1464,89.23,514.3,2000 Durchschnittsjahr,run10037,7.54,1.416,23502.8,82238.9,505119.7,16063.6,223809.9,33204.2,505119.7,82238.9
run10038,19.86,2060 warmer Sommer mit Klimaschutz,87.54,87.31,SunGuard 3-fach Argon U=0.6 g=18%,<value not set>,0.1157,87.31,1540,2060 warmer Sommer mit Klimaschutz,run10038,7.458,2.303,53660.7,90320.1,613302.7,11386.1,243465.5,36049,613302.7,90320.1
run10039,38.26,2060 Durchschnittsjahr mit Klimaschutz,2.826,4.017,SunGuard 3-fach Argon U=0.6 g=23%,SCREEN-SHADE,0.1145,4.017,2490.4,2060 Durchschnittsjahr mit Klimaschutz,run10039,7.51,0.2405,26897,72133.7,482317.8,25820,231096.5,35347.2,482317.8,72133.7
run10040,41.58,2060 warmer Sommer mit Klimaschutz,26.46,18.7,Standard 2-fach Argon U=1.1 g=34%,SCREEN-SHADE,0.1978,18.7,284.4,2060 warmer Sommer mit Klimaschutz,run10040,7.206,0.7152,39544.7,54943.7,483903.3,18191.8,204019.4,31931.6,483903.3,54943.7
run10041,59.76,2060 Durchschnittsjahr mit Klimaschutz,55.23,6.79,SunGuard 3-fach Argon U=0.6 g=18%,SCREEN-SHADE,0.131,6.79,759.2,2060 Durchschnittsjahr mit Klimaschutz,run10041,7.379,1.316,35472.6,75324.3,550554,14509.7,219790,33059.6,550554,75324.3
run10042,77.59,2000 Durchschnittsjahr,61.26,99.39,SunGuard 3-fach Argon U=0.6 g=18%,SCREEN-SHADE,0.1569,99.39,646,2000 Durchschnittsjahr,run10042,7.504,2.242,32630.2,93326.5,601930,11497.3,234614.1,34215.6,601930,93326.5
run10043,52.06,2000 Durchschnittsjahr,86.77,92.44,SunGuard 3-fach Argon U=0.6 g=18%,<value not set>,0.1589,92.44,2380.3,2000 Durchschnittsjahr,run10043,7.559,2.287,34763,96280.9,622330.3,10750.7,238157.9,34604.3,622330.3,96280.9
run10044,55.39,2060 warmer Sommer mit Klimaschutz,90.75,23.54,SunGuard 3-fach Argon U=0.6 g=18%,SCREEN-SHADE,0.131,23.54,2301.4,2060 warmer Sommer mit Klimaschutz,run10044,7.38,1.921,54932.4,81223.3,632837.4,11509.4,233338.2,34993,632837.4,81223.3
run10045,65.09,2060 Durchschnittsjahr mit Klimaschutz,0.1529,81.02,SGG Planitherm 3-fach Argon U=0.7 g=42%,SCREEN-SHADE,0.1369,81.02,2052.1,2060 Durchschnittsjahr mit Klimaschutz,run10045,7.466,1.205,29120.3,75496.4,509985.4,18349,223099.3,33637.3,509985.4,75496.4
run10046,18.18,2060 Durchschnittsjahr mit Klimaschutz,94.17,81.23,Q-Air 4-fach Krypton U=0.3 g=20%,<value not set>,0.1544,81.23,2654.3,2060 Durchschnittsjahr mit Klimaschutz,run10046,7.5,2.09,43308,87995.5,611746.9,11631.7,234794.9,34691.1,611746.9,87995.5
run10047,69.65,2060 Durchschnittsjahr mit Klimaschutz,62.03,52.59,Standard 2-fach Argon U=1.1 g=34%,<value not set>,0.1065,52.59,2953.6,2060 Durchschnittsjahr mit Klimaschutz,run10047,7.469,2.04,38763.9,89332.9,600949.4,12729,235672.4,34737,600949.4,89332.9
run10048,58.03,2060 warmer Sommer mit Klimaschutz,76.02,78.99,SunGuard 3-fach Argon U=0.6 g=23%,ROLLER-SHADE,0.1151,78.99,910.5,2060 warmer Sommer mit Klimaschutz,run10048,7.42,2.578,54383.4,88837.5,616657,11250.4,241844.3,35882,616657,88837.5
run10049,12.67,2060 Durchschnittsjahr mit Klimaschutz,14.99,89.28,Standard 2-fach Argon U=1.1 g=34%,<value not set>,0.1791,89.28,1978.9,2060 Durchschnittsjahr mit Klimaschutz,run10049,7.453,0.8276,28009.2,68117.4,494434.2,19471.8,215435.8,32879.5,494434.2,68117.4
run10050,37.54,2000 Durchschnittsjahr,95,32.31,SunGuard 3-fach Argon U=0.6 g=18%,ROLLER-SHADE,0.1359,32.31,2482.5,2000 Durchschnittsjahr,run10050,7.552,1.907,32775.4,91236.8,603879.1,11684.6,232477.3,34007.1,603879.1,91236.8
run10051,92.93,2060 Durchschnittsjahr mit Klimaschutz,26.92,44.72,SunGuard 3-fach Argon U=0.6 g=23%,<value not set>,0.1548,44.72,2832.7,2060 Durchschnittsjahr mit Klimaschutz,run10051,7.354,1.324,33885.1,72088.4,565489.2,14677.9,215184.1,32504.5,565489.2,72088.4
run10052,79.13,2060 Durchschnittsjahr mit Klimaschutz,6.842,19.35,SGG Planitherm 3-fach Argon U=0.7 g=42%,ROLLER-SHADE,0.1568,19.35,1024.5,2060 Durchschnittsjahr mit Klimaschutz,run10052,7.331,0.688,29658.8,62967.1,502582.4,19464,210117.6,32356.2,502582.4,62967.1
run10053,90.62,2000 Durchschnittsjahr,35.37,74.15,Q-Air 4-fach Krypton U=0.3 g=20%,<value not set>,0.1821,74.15,2050,2000 Durchschnittsjahr,run10053,7.465,1.65,27886.7,80311.6,557546.4,13102.6,218746.6,32458.6,557546.4,80311.6
run10054,84.51,2060 Durchschnittsjahr mit Klimaschutz,93.32,65.15,SGG Planitherm 3-fach Argon U=0.7 g=42%,ROLLER-SHADE,0.1994,65.15,72.68,2060 Durchschnittsjahr mit Klimaschutz,run10054,7.391,2.351,51432.4,85935.3,625769.6,10628.3,235339,34959.6,625769.6,85935.3
run10055,13.11,2000 Durchschnittsjahr,77.38,23.73,SGG Planitherm 3-fach Argon U=0.7 g=42%,SCREEN-SHADE,0.119,23.73,1513.3,2000 Durchschnittsjahr,run10055,7.578,1.409,27199,89826.5,575794.7,13692.1,231028.2,33865.1,575794.7,89826.5
run10056,38.89,2000 Durchschnittsjahr,59.51,12.77,SGG Planitherm 3-fach Argon U=0.7 g=42%,SCREEN-SHADE,0.1003,12.77,2567.8,2000 Durchschnittsjahr,run10056,7.597,1.294,24990.6,93320.6,549944.7,14323.5,235106.3,34304.3,549944.7,93320.6
run10057,5.624,2060 warmer Sommer mit Klimaschutz,22.69,58.63,SGG Planitherm 3-fach Argon U=0.7 g=42%,<value not set>,0.1054,58.63,933.4,2060 warmer Sommer mit Klimaschutz,run10057,7.494,0.7683,38091.1,79643.9,484754.3,20824.5,238070.5,35970.8,484754.3,79643.9
run10058,90.78,2000 Durchschnittsjahr,46.88,59.69,SunGuard 3-fach Argon U=0.6 g=23%,SCREEN-SHADE,0.1612,59.69,2890.6,2000 Durchschnittsjahr,run10058,7.48,1.791,29004.9,83663.7,571732.3,12707,222804.4,32905.8,571732.3,83663.7
run10059,98.47,2060 Durchschnittsjahr mit Klimaschutz,34.74,8.471,SunGuard 3-fach Argon U=0.6 g=18%,SCREEN-SHADE,0.1543,8.471,2811.9,2060 Durchschnittsjahr mit Klimaschutz,run10059,7.314,1.046,34624.2,68719.2,572783.6,14903.3,211914.2,32199.6,572783.6,68719.2
run10060,47.03,2000 Durchschnittsjahr,62.33,5.326,SunGuard 3-fach Argon U=0.6 g=23%,SCREEN-SHADE,0.1019,5.326,2584,2000 Durchschnittsjahr,run10060,7.578,1.355,25720.7,92212.9,557113.3,14013.4,233637.3,34133.4,557113.3,92212.9
run10061,94.02,2060 warmer Sommer mit Klimaschutz,15.21,46.09,SunGuard 3-fach Argon U=0.6 g=23%,ROLLER-SHADE,0.1782,46.09,298.3,2060 warmer Sommer mit Klimaschutz,run10061,7.231,1.107,43379.2,63383.1,517389.2,15615.4,211995,32657.2,517389.2,63383.1
run10062,56.31,2000 Durchschnittsjahr,19.91,66.9,Q-Air 4-fach Krypton U=0.3 g=20%,<value not set>,0.1719,66.9,2279.7,2000 Durchschnittsjahr,run10062,7.516,1.144,23148.7,75257.7,505057.1,15728.4,214458.5,32111.3,505057.1,75257.7
run10063,49.43,2060 Durchschnittsjahr mit Klimaschutz,32.61,75.94,SGG Planitherm 3-fach Argon U=0.7 g=42%,<value not set>,0.1361,75.94,2002.3,2060 Durchschnittsjahr mit Klimaschutz,run10063,7.455,1.643,32356.7,79568.1,542189.1,14830,223680.8,33403.1,542189.1,79568.1
run10064,74.16,2000 Durchschnittsjahr,35.22,93.27,SGG Planitherm 3-fach Argon U=0.7 g=42%,SCREEN-SHADE,0.141,93.27,2583,2000 Durchschnittsjahr,run10064,7.538,1.925,26692.6,89409.7,558905,13131.5,229203.9,33573.3,558905,89409.7
run10065,36.98,2060 Durchschnittsjahr mit Klimaschutz,64.72,33.9,SunGuard 3-fach Argon U=0.6 g=23%,ROLLER-SHADE,0.1115,33.9,4.933,2060 Durchschnittsjahr mit Klimaschutz,run10065,7.381,1.56,38738.5,85413.3,517926.5,13859.9,232912.3,34568.8,517926.5,85413.3
run10066,92.08,2060 warmer Sommer mit Klimaschutz,61.3,52.13,SGG Planitherm 3-fach Argon U=0.7 g=42%,SCREEN-SHADE,0.186,52.13,2662,2060 warmer Sommer mit Klimaschutz,run10066,7.314,1.97,53166.1,73992.3,626619.2,11827.7,224009.3,33925,626619.2,73992.3
run10067,84.96,2060 warmer Sommer mit Klimaschutz,61.76,88.49,Q-Air 4-fach Krypton U=0.3 g=20%,SCREEN-SHADE,0.1559,88.49,273.4,2060 warmer Sommer mit Klimaschutz,run10067,7.345,2.284,55136.7,82742.4,606512,11368.2,235056.5,35174.2,606512,82742.4
run10068,81.79,2000 Durchschnittsjahr,27.8,32.98,SunGuard 3-fach Argon U=0.6 g=18%,<value not set>,0.186,32.98,1513.2,2000 Durchschnittsjahr,run10068,7.428,1.142,25097,70253.3,521127.7,14840.7,207915.2,31356.5,521127.7,70253.3
run10069,57.1,2060 Durchschnittsjahr mit Klimaschutz,96.71,31.66,SGG Planitherm 3-fach Argon U=0.7 g=42%,ROLLER-SHADE,0.1126,31.66,1503.9,2060 Durchschnittsjahr mit Klimaschutz,run10069,7.474,2.088,45254.3,90214.8,624669.9,11491.9,238430.1,35156.7,624669.9,90214.8
run10070,69.21,2060 Durchschnittsjahr mit Klimaschutz,91.75,24.25,SunGuard 3-fach Argon U=0.6 g=18%,<value not set>,0.1098,24.25,2890.9,2060 Durchschnittsjahr mit Klimaschutz,run10070,7.464,2.051,44519.6,89475.7,634306.4,11598.9,237271,35011.1,634306.4,89475.7
run10071,52.14,2060 Durchschnittsjahr mit Klimaschutz,71.55,76.64,Standard 2-fach Argon U=1.1 g=34%,<value not set>,0.1607,76.64,2536.9,2060 Durchschnittsjahr mit Klimaschutz,run10071,7.443,2.111,41050.3,83134.7,603338.4,12109.2,228358.2,33943.3,603338.4,83134.7
run10072,21.82,2060 Durchschnittsjahr mit Klimaschutz,88.27,3.167,Q-Air 4-fach Krypton U=0.3 g=20%,<value not set>,0.1974,3.167,2011.1,2060 Durchschnittsjahr mit Klimaschutz,run10072,7.373,1.352,39757.6,68936.3,584716,13482.4,212709.2,32323.6,584716,68936.3
run10073,67.75,2000 Durchschnittsjahr,24.94,52.14,SunGuard 3-fach Argon U=0.6 g=23%,<value not set>,0.1731,52.14,2451.8,2000 Durchschnittsjahr,run10073,7.485,1.181,23988.3,74341,512385.1,15047.9,212615.9,31857.9,512385.1,74341
run10074,91.38,2060 Durchschnittsjahr mit Klimaschutz,40.09,26.79,Q-Air 4-fach Krypton U=0.3 g=20%,SCREEN-SHADE,0.1878,26.79,1296.3,2060 Durchschnittsjahr mit Klimaschutz,run10074,7.299,1.293,36369.9,67040.3,567076.5,14175,209599.3,31924.8,567076.5,67040.3
run10075,31.25,2000 Durchschnittsjahr,15.27,24.67,Q-Air 4-fach Krypton U=0.3 g=20%,SCREEN-SHADE,0.1221,24.67,645.5,2000 Durchschnittsjahr,run10075,7.591,0.5793,21637.5,78250.7,472134.8,22366,229162.3,34492.9,472134.8,78250.7
run10076,33.52,2060 Durchschnittsjahr mit Klimaschutz,35.31,75.55,Standard 2-fach Argon U=1.1 g=34%,SCREEN-SHADE,0.1723,75.55,1642.3,2060 Durchschnittsjahr mit Klimaschutz,run10076,7.424,1.273,31818.9,72632,531888.8,15269.1,215672.4,32546.9,531888.8,72632
run10077,94.76,2060 warmer Sommer mit Klimaschutz,17.18,33.36,Standard 2-fach Argon U=1.1 g=34%,SCREEN-SHADE,0.1915,33.36,431.6,2060 warmer Sommer mit Klimaschutz,run10077,7.214,1.031,43106.2,60174.7,522380.6,15857,208344,32270.8,522380.6,60174.7
run10078,46.01,2000 Durchschnittsjahr,13.65,79.78,Q-Air 4-fach Krypton U=0.3 g=20%,ROLLER-SHADE,0.1049,79.78,1177.9,2000 Durchschnittsjahr,run10078,7.661,1.109,22426.8,93477,508277.7,17226.7,238987.8,34985.7,508277.7,93477
run10079,59.22,2000 Durchschnittsjahr,31.64,70.04,Q-Air 4-fach Krypton U=0.3 g=20%,<value not set>,0.1357,70.04,1195.9,2000 Durchschnittsjahr,run10079,7.542,1.381,24784.1,85436.3,535268.4,14289.6,225291,33203.4,535268.4,85436.3
run10080,78.91,2000 Durchschnittsjahr,91.18,81.03,SGG Planitherm 3-fach Argon U=0.7 g=42%,ROLLER-SHADE,0.154,81.03,2541.1,2000 Durchschnittsjahr,run10080,7.541,2.495,37550.7,97569.1,641709.4,10241.4,240489.7,34914.1,641709.4,97569.1
run10081,22.81,2060 Durchschnittsjahr mit Klimaschutz,70.24,33.06,Standard 2-fach Argon U=1.1 g=34%,SCREEN-SHADE,0.1357,33.06,1713.9,2060 Durchschnittsjahr mit Klimaschutz,run10081,7.455,1.5,36273.8,79357.8,562912.9,13986.2,224254.1,33522.9,562912.9,79357.8
run10082,19.88,2060 warmer Sommer mit Klimaschutz,96.1,96.61,SGG Planitherm 3-fach Argon U=0.7 g=42%,<value not set>,0.1977,96.61,174.7,2060 warmer Sommer mit Klimaschutz,run10082,7.388,2.063,57480.3,83607.5,615865.6,10823.2,236540.9,35367.8,615865.6,83607.5
run10083,34.45,2060 Durchschnittsjahr mit Klimaschutz,30.8,23.41,SunGuard 3-fach Argon U=0.6 g=23%,SCREEN-SHADE,0.1331,23.41,2729.1,2060 Durchschnittsjahr mit Klimaschutz,run10083,7.447,0.7884,29136.1,72330.3,521549.6,17854.2,218352.4,33051.1,521549.6,72330.3
run10084,34.37,2000 Durchschnittsjahr,45.77,45.57,SunGuard 3-fach Argon U=0.6 g=23%,<value not set>,0.1828,45.57,2230.1,2000 Durchschnittsjahr,run10084,7.49,1.244,24518.2,74367.1,522559.2,14702.2,212343,31807.1,522559.2,74367.1
run10085,42.33,2060 warmer Sommer mit Klimaschutz,12.79,68.17,SunGuard 3-fach Argon U=0.6 g=18%,ROLLER-SHADE,0.1934,68.17,1002.5,2060 warmer Sommer mit Klimaschutz,run10085,7.312,0.9098,38832.4,60771.1,499884.8,18344.9,210989.1,32694.4,499884.8,60771.1
run10086,91.38,2060 warmer Sommer mit Klimaschutz,4.33,22.45,SunGuard 3-fach Argon U=0.6 g=23%,<value not set>,0.1783,22.45,1529.4,2060 warmer Sommer mit Klimaschutz,run10086,7.244,0.7103,39865.4,57480.5,519283.1,18685,208195.4,32468,519283.1,57480.5
run10087,54.83,2060 warmer Sommer mit Klimaschutz,94.62,27.92,SGG Planitherm 3-fach Argon U=0.7 g=42%,<value not set>,0.1205,27.92,448.8,2060 warmer Sommer mit Klimaschutz,run10087,7.382,2.007,56769.3,84528.8,629741.5,11240.3,237993.1,35551,629741.5,84528.8
