Name,Glasanteil_Süd_[%],Glasanteil_WestOst_[%],Glasanteil_Nord_[%],Produktwahl_Verglasung,Produktwahl_Verschattung,Dämmstärke_[m],VolSpez_Wärmekap_[kJ/m3K],Klimaszenario,,Anteil_Unzufrieden_[%],Tageslichtfaktor_[%],Kühlenergie_[kWh/Jahr],Heizenergie_[kWh/Jahr],Energie_Kunstlicht_[kWh/Jahr],Primärenergie_Total_[kWh/Jahr],Betriebskosten_[EUR/Jahr],Investitionskosten_[EUR]
run10014,75.71,19.89,23.04,U=0.3 g=20%,roller,0.1092,597.7,2060 Warm,run10014,7.37,0.9438,41320.3,75883.2,16859,228280.5,34531.9,516488.2
run10015,40.14,72.45,39.5,U=0.6 g=23%,none,0.1968,2527.3,2060,run10015,7.385,1.661,39003.8,72450.4,13096.7,215853.1,32594,588534.9
run10016,32.97,5.169,0.03541,U=0.6 g=23%,screen,0.1428,964.5,2060,run10016,7.405,0.1964,27217.4,60942.7,26472,218786.3,34074.9,460584
run10017,98.12,22.63,65.41,U=0.6 g=23%,screen,0.1494,652.3,2060,run10017,7.353,1.44,34973.4,75451.4,14405.5,219460.7,32990.1,544688.1
run10018,86.74,26.13,83.9,U=0.6 g=18%,none,0.1465,2240.5,2060,run10018,7.407,1.751,34661.4,78882.5,13989.2,222708.4,33286.1,564747.3
run10019,92.75,44.34,89.22,U=0.7 g=42%,none,0.1093,72.16,2060 Warm,run10019,7.356,2.204,53394.6,88581.7,12122.2,242509.9,36022.3,569625.8
run10020,28.5,13.44,27.8,U=0.3 g=20%,none,0.1676,1693.7,2060,run10020,7.38,0.5445,27803.5,60247.3,23369,212716.9,33046.9,486046.2
run10021,32.22,67.1,46.44,U=0.7 g=42%,screen,0.1462,1753.9,2060 Warm,run10021,7.369,1.656,48061.1,75817.9,13155.8,225567.6,34052.3,580998.8
run10022,17.65,83.77,25.57,U=1.1 g=34%,screen,0.1001,1037.7,2060 Warm,run10022,7.443,1.567,49535.3,86660.8,12989.1,239401.7,35626,584893.5
run10023,63.47,38.8,73.77,U=0.7 g=42%,roller,0.1143,1640.1,2060,run10023,7.469,1.601,34552.9,86205.1,13937.8,231509.7,34251.9,559254
run10024,6.195,1.49,95.72,U=0.6 g=23%,none,0.1021,1902.5,2060 Warm,run10024,7.556,0.5602,36591.1,83433.3,23296,246245.8,37118.4,479526.3
run10025,58.52,17.35,75.53,U=0.7 g=42%,roller,0.1434,1197,2000,run10025,7.556,1.187,23358.2,81753.6,15735,222535,33016.4,514119.2
run10026,12.45,91.7,15.39,U=0.6 g=23%,roller,0.1936,2124.3,2060 Warm,run10026,7.324,1.421,50982.5,68988,12928.9,218574,33368.6,601916.5
run10027,40.1,75.3,77.9,U=0.6 g=18%,none,0.1073,277.9,2060,run10027,7.457,2.315,41425.1,93901.1,12154.9,241828.5,35458.5,577023.9
run10028,51.08,90.39,12.92,U=0.3 g=20%,screen,0.1078,973.3,2060,run10028,7.46,1.806,42347,88053.6,12284.8,235467.6,34806.6,601800.9
run10029,98.53,68.21,79.51,U=0.7 g=42%,roller,0.1352,1879.3,2060 Warm,run10029,7.387,2.581,56939.5,85638.5,10939.9,238906.8,35622.5,642492.2
run10030,7.692,67.88,73.64,U=0.7 g=42%,roller,0.1357,2236.8,2060 Warm,run10030,7.422,1.66,47185,80600.8,13365.3,231269.7,34674.7,573753.2
run10031,86.61,11.23,73.24,U=0.7 g=42%,roller,0.1273,2662.2,2060 Warm,run10031,7.385,1.271,42059.3,76145.4,15466.6,226530.9,34197.3,547841.1
run10032,28.93,0.9828,92.23,U=0.6 g=18%,roller,0.143,345.7,2060 Warm,run10032,7.384,0.9368,37502.7,70171.6,20175,224976.8,34415.4,457966.2
run10033,91.53,22.24,33.07,U=0.6 g=23%,screen,0.1029,832.1,2000,run10033,7.553,1.167,24704.3,90412.6,15120.3,232822.3,34137,548675.7
run10034,38.39,63.49,15.05,U=0.7 g=42%,screen,0.1839,1383,2060,run10034,7.353,1.314,35977.7,67603.6,14390.1,210446.9,32029.6,557699.3
run10035,15.74,95.37,91.71,U=0.7 g=42%,screen,0.1309,1008.8,2060,run10035,7.52,2.417,43840.2,93177.7,11451,241130.7,35393.8,601641.9
run10036,68.07,60.77,29.64,U=0.3 g=20%,screen,0.1699,2119.5,2060 Warm,run10036,7.304,1.665,49364.4,70575.8,12910.3,219499.1,33401.9,596892.8
run10037,51.74,15.48,89.23,U=0.6 g=23%,roller,0.1464,514.3,2000,run10037,7.54,1.416,23502.8,82238.9,16063.6,223809.9,33204.2,505119.7
run10038,19.86,87.54,87.31,U=0.6 g=18%,none,0.1157,1540,2060 Warm,run10038,7.458,2.303,53660.7,90320.1,11386.1,243465.5,36049,613302.7
run10039,38.26,2.826,4.017,U=0.6 g=23%,screen,0.1145,2490.4,2060,run10039,7.51,0.2405,26897,72133.7,25820,231096.5,35347.2,482317.8
run10040,41.58,26.46,18.7,U=1.1 g=34%,screen,0.1978,284.4,2060 Warm,run10040,7.206,0.7152,39544.7,54943.7,18191.8,204019.4,31931.6,483903.3
run10041,59.76,55.23,6.79,U=0.6 g=18%,screen,0.131,759.2,2060,run10041,7.379,1.316,35472.6,75324.3,14509.7,219790,33059.6,550554
run10042,77.59,61.26,99.39,U=0.6 g=18%,screen,0.1569,646,2000,run10042,7.504,2.242,32630.2,93326.5,11497.3,234614.1,34215.6,601930
run10043,52.06,86.77,92.44,U=0.6 g=18%,none,0.1589,2380.3,2000,run10043,7.559,2.287,34763,96280.9,10750.7,238157.9,34604.3,622330.3
run10044,55.39,90.75,23.54,U=0.6 g=18%,screen,0.131,2301.4,2060 Warm,run10044,7.38,1.921,54932.4,81223.3,11509.4,233338.2,34993,632837.4
run10045,65.09,0.1529,81.02,U=0.7 g=42%,screen,0.1369,2052.1,2060,run10045,7.466,1.205,29120.3,75496.4,18349,223099.3,33637.3,509985.4
run10046,18.18,94.17,81.23,U=0.3 g=20%,none,0.1544,2654.3,2060,run10046,7.5,2.09,43308,87995.5,11631.7,234794.9,34691.1,611746.9
run10047,69.65,62.03,52.59,U=1.1 g=34%,none,0.1065,2953.6,2060,run10047,7.469,2.04,38763.9,89332.9,12729,235672.4,34737,600949.4
run10048,58.03,76.02,78.99,U=0.6 g=23%,roller,0.1151,910.5,2060 Warm,run10048,7.42,2.578,54383.4,88837.5,11250.4,241844.3,35882,616657
run10049,12.67,14.99,89.28,U=1.1 g=34%,none,0.1791,1978.9,2060,run10049,7.453,0.8276,28009.2,68117.4,19471.8,215435.8,32879.5,494434.2
run10050,37.54,95,32.31,U=0.6 g=18%,roller,0.1359,2482.5,2000,run10050,7.552,1.907,32775.4,91236.8,11684.6,232477.3,34007.1,603879.1
run10051,92.93,26.92,44.72,U=0.6 g=23%,none,0.1548,2832.7,2060,run10051,7.354,1.324,33885.1,72088.4,14677.9,215184.1,32504.5,565489.2
run10052,79.13,6.842,19.35,U=0.7 g=42%,roller,0.1568,1024.5,2060,run10052,7.331,0.688,29658.8,62967.1,19464,210117.6,32356.2,502582.4
run10053,90.62,35.37,74.15,U=0.3 g=20%,none,0.1821,2050,2000,run10053,7.465,1.65,27886.7,80311.6,13102.6,218746.6,32458.6,557546.4
run10054,84.51,93.32,65.15,U=0.7 g=42%,roller,0.1994,72.68,2060,run10054,7.391,2.351,51432.4,85935.3,10628.3,235339,34959.6,625769.6
run10055,13.11,77.38,23.73,U=0.7 g=42%,screen,0.119,1513.3,2000,run10055,7.578,1.409,27199,89826.5,13692.1,231028.2,33865.1,575794.7
run10056,38.89,59.51,12.77,U=0.7 g=42%,screen,0.1003,2567.8,2000,run10056,7.597,1.294,24990.6,93320.6,14323.5,235106.3,34304.3,549944.7
run10057,5.624,22.69,58.63,U=0.7 g=42%,none,0.1054,933.4,2060 Warm,run10057,7.494,0.7683,38091.1,79643.9,20824.5,238070.5,35970.8,484754.3
run10058,90.78,46.88,59.69,U=0.6 g=23%,screen,0.1612,2890.6,2000,run10058,7.48,1.791,29004.9,83663.7,12707,222804.4,32905.8,571732.3
run10059,98.47,34.74,8.471,U=0.6 g=18%,screen,0.1543,2811.9,2060,run10059,7.314,1.046,34624.2,68719.2,14903.3,211914.2,32199.6,572783.6
run10060,47.03,62.33,5.326,U=0.6 g=23%,screen,0.1019,2584,2000,run10060,7.578,1.355,25720.7,92212.9,14013.4,233637.3,34133.4,557113.3
run10061,94.02,15.21,46.09,U=0.6 g=23%,roller,0.1782,298.3,2060 Warm,run10061,7.231,1.107,43379.2,63383.1,15615.4,211995,32657.2,517389.2
run10062,56.31,19.91,66.9,U=0.3 g=20%,none,0.1719,2279.7,2000,run10062,7.516,1.144,23148.7,75257.7,15728.4,214458.5,32111.3,505057.1
run10063,49.43,32.61,75.94,U=0.7 g=42%,none,0.1361,2002.3,2060,run10063,7.455,1.643,32356.7,79568.1,14830,223680.8,33403.1,542189.1
run10064,74.16,35.22,93.27,U=0.7 g=42%,screen,0.141,2583,2000,run10064,7.538,1.925,26692.6,89409.7,13131.5,229203.9,33573.3,558905
run10065,36.98,64.72,33.9,U=0.6 g=23%,roller,0.1115,4.933,2060,run10065,7.381,1.56,38738.5,85413.3,13859.9,232912.3,34568.8,517926.5
run10066,92.08,61.3,52.13,U=0.7 g=42%,screen,0.186,2662,2060 Warm,run10066,7.314,1.97,53166.1,73992.3,11827.7,224009.3,33925,626619.2
run10067,84.96,61.76,88.49,U=0.3 g=20%,screen,0.1559,273.4,2060 Warm,run10067,7.345,2.284,55136.7,82742.4,11368.2,235056.5,35174.2,606512
run10068,81.79,27.8,32.98,U=0.6 g=18%,none,0.186,1513.2,2000,run10068,7.428,1.142,25097,70253.3,14840.7,207915.2,31356.5,521127.7
run10069,57.1,96.71,31.66,U=0.7 g=42%,roller,0.1126,1503.9,2060,run10069,7.474,2.088,45254.3,90214.8,11491.9,238430.1,35156.7,624669.9
run10070,69.21,91.75,24.25,U=0.6 g=18%,none,0.1098,2890.9,2060,run10070,7.464,2.051,44519.6,89475.7,11598.9,237271,35011.1,634306.4
run10071,52.14,71.55,76.64,U=1.1 g=34%,none,0.1607,2536.9,2060,run10071,7.443,2.111,41050.3,83134.7,12109.2,228358.2,33943.3,603338.4
run10072,21.82,88.27,3.167,U=0.3 g=20%,none,0.1974,2011.1,2060,run10072,7.373,1.352,39757.6,68936.3,13482.4,212709.2,32323.6,584716
run10073,67.75,24.94,52.14,U=0.6 g=23%,none,0.1731,2451.8,2000,run10073,7.485,1.181,23988.3,74341,15047.9,212615.9,31857.9,512385.1
run10074,91.38,40.09,26.79,U=0.3 g=20%,screen,0.1878,1296.3,2060,run10074,7.299,1.293,36369.9,67040.3,14175,209599.3,31924.8,567076.5
run10075,31.25,15.27,24.67,U=0.3 g=20%,screen,0.1221,645.5,2000,run10075,7.591,0.5793,21637.5,78250.7,22366,229162.3,34492.9,472134.8
run10076,33.52,35.31,75.55,U=1.1 g=34%,screen,0.1723,1642.3,2060,run10076,7.424,1.273,31818.9,72632,15269.1,215672.4,32546.9,531888.8
run10077,94.76,17.18,33.36,U=1.1 g=34%,screen,0.1915,431.6,2060 Warm,run10077,7.214,1.031,43106.2,60174.7,15857,208344,32270.8,522380.6
run10078,46.01,13.65,79.78,U=0.3 g=20%,roller,0.1049,1177.9,2000,run10078,7.661,1.109,22426.8,93477,17226.7,238987.8,34985.7,508277.7
run10079,59.22,31.64,70.04,U=0.3 g=20%,none,0.1357,1195.9,2000,run10079,7.542,1.381,24784.1,85436.3,14289.6,225291,33203.4,535268.4
run10080,78.91,91.18,81.03,U=0.7 g=42%,roller,0.154,2541.1,2000,run10080,7.541,2.495,37550.7,97569.1,10241.4,240489.7,34914.1,641709.4
run10081,22.81,70.24,33.06,U=1.1 g=34%,screen,0.1357,1713.9,2060,run10081,7.455,1.5,36273.8,79357.8,13986.2,224254.1,33522.9,562912.9
run10082,19.88,96.1,96.61,U=0.7 g=42%,none,0.1977,174.7,2060 Warm,run10082,7.388,2.063,57480.3,83607.5,10823.2,236540.9,35367.8,615865.6
run10083,34.45,30.8,23.41,U=0.6 g=23%,screen,0.1331,2729.1,2060,run10083,7.447,0.7884,29136.1,72330.3,17854.2,218352.4,33051.1,521549.6
run10084,34.37,45.77,45.57,U=0.6 g=23%,none,0.1828,2230.1,2000,run10084,7.49,1.244,24518.2,74367.1,14702.2,212343,31807.1,522559.2
run10085,42.33,12.79,68.17,U=0.6 g=18%,roller,0.1934,1002.5,2060 Warm,run10085,7.312,0.9098,38832.4,60771.1,18344.9,210989.1,32694.4,499884.8
run10086,91.38,4.33,22.45,U=0.6 g=23%,none,0.1783,1529.4,2060 Warm,run10086,7.244,0.7103,39865.4,57480.5,18685,208195.4,32468,519283.1
run10087,54.83,94.62,27.92,U=0.7 g=42%,none,0.1205,448.8,2060 Warm,run10087,7.382,2.007,56769.3,84528.8,11240.3,237993.1,35551,629741.5
run10088,34.77,61.96,97.97,U=0.3 g=20%,roller,0.1522,2414.6,2000,run10088,7.564,1.893,28645.9,91569.4,12450.6,231791.1,33856.5,587766.1
run10089,99.01,80.22,77.81,U=0.7 g=42%,roller,0.1879,1619.1,2060,run10089,7.419,2.381,48394.5,85496.7,10770.4,233237.9,34620.1,648280.8
run10090,21.11,47.4,47.72,U=1.1 g=34%,none,0.1128,1426.3,2000,run10090,7.61,1.295,23752.4,90535.6,15138.2,232432.8,34057.2,530286.2
run10091,0.3886,62.16,40.41,U=0.3 g=20%,roller,0.1761,32.76,2060,run10091,7.327,1.255,34906,69267.1,15971.9,214680,32648.9,490626.7
run10092,14.29,66.89,97.6,U=0.6 g=18%,roller,0.1468,1580.5,2060 Warm,run10092,7.419,2.103,48786.8,81994.6,12605.7,232565.7,34790.7,578464.9
run10093,37.51,11.54,23.38,U=0.3 g=20%,roller,0.1306,1909.2,2060 Warm,run10093,7.389,0.5555,37400.4,66225.9,22947,225068,34759.7,496434.6
run10094,41.99,51.5,47.04,U=1.1 g=34%,none,0.1024,1972.6,2060 Warm,run10094,7.441,1.539,45296.2,84494.9,13958.2,235956.6,35189.8,567894.7
run10095,21.01,51.78,31.98,U=1.1 g=34%,none,0.1739,83.03,2060,run10095,7.303,1.19,33895.2,67621.8,15679.3,211542.1,32224,493973.1
run10096,36.98,2.785,7.197,U=0.6 g=23%,none,0.1327,1404.3,2000,run10096,7.614,0.2646,20970.2,70692.8,25644,225410.4,34450,448460.5
run10097,60.28,52.5,94.56,U=0.7 g=42%,none,0.1933,1158,2060,run10097,7.403,1.933,38699.5,78378.7,12690.4,222182.1,33233.6,579001.5
run10098,68.59,62.07,11.12,U=1.1 g=34%,roller,0.1863,501.8,2060,run10098,7.296,1.491,38775.4,68054.5,13643,211335.5,32151.1,562382.1
run10099,91.25,11.47,66.12,U=1.1 g=34%,roller,0.1685,1571.6,2060 Warm,run10099,7.308,1.18,42442.4,67139.9,15468.6,215755.6,33017.9,541816.3
run10100,17.8,40.44,47.44,U=0.6 g=18%,screen,0.1341,2705.9,2060 Warm,run10100,7.413,1.056,40853.6,73134.3,16314.1,223650.3,33932,534406.5
r2n10001,37.3,65.27,80.26,U=0.3 g=20%,screen,0.1472,2589.4,2060 Warm,r2n10001,7.393,2.166,49484.1,80498.8,12383.6,230755.1,34591.2,596216.7
r2n10002,13.66,3.606,3.774,U=0.6 g=23%,screen,0.173,2159.1,2060,r2n10002,7.384,0.1104,26202,53200.6,27901,211281.9,33375.9,461382.9
r2n10003,71.23,2.51,55.95,U=0.7 g=42%,roller,0.1478,1721,2060,r2n10003,7.413,0.8864,29286.7,69574.3,18849,216867.2,33014.6,509138.6
r2n10004,34.9,56.51,93.03,U=1.1 g=34%,none,0.1815,2525.6,2060 Warm,r2n10004,7.368,1.838,47904.8,75830.9,12749,224754.3,33905.6,584588.7
r2n10005,54.08,56.61,30.87,U=0.7 g=42%,screen,0.1735,629.6,2060 Warm,r2n10005,7.286,1.489,47389.6,68207,13588.1,216645.3,33088.2,560221.8
r2n10006,54.08,72.96,77.27,U=0.7 g=42%,screen,0.1492,466.9,2060 Warm,r2n10006,7.37,2.171,53582,82206.1,11539.3,233781.4,34990.6,602866.6
r2n10007,89.58,89.42,99.73,U=0.6 g=18%,screen,0.1144,1240.5,2000,r2n10007,7.561,2.958,38689.1,106529.7,9887.2,251484.6,36136.7,658250.6
r2n10008,76.22,97.05,4.138,U=0.6 g=23%,none,0.1216,2161.9,2060,r2n10008,7.433,1.906,46182.4,85320.5,11567.4,233134,34616.1,637258.3
r2n10009,18.23,49.24,87.15,U=0.7 g=42%,roller,0.1451,1665.3,2060,r2n10009,7.48,1.776,33630,81106.3,14407.8,225567.4,33612.5,542686.4
r2n10010,53.31,14.58,32.9,U=1.1 g=34%,roller,0.146,1812.6,2000,r2n10010,7.546,0.7831,22002.3,73686.1,18646,217107.2,32715.7,484973.2
r2n10011,26.42,1.617,24.84,U=0.6 g=18%,screen,0.1224,2843.2,2000,r2n10011,7.681,0.3341,20713.3,77090.2,26388,234415.6,35529.2,451480.7
r2n10012,23,2.655,92.76,U=0.6 g=23%,none,0.1777,1342.3,2000,r2n10012,7.614,0.7817,21246.4,72532,20181,218005.6,32972.2,471196.8
r2n10013,17.67,7.89,50.47,U=0.3 g=20%,none,0.1207,572.1,2060,r2n10013,7.485,0.5593,27657,74422,24444,231884.1,35298,455008.9
r2n10014,32.74,14.16,88.45,U=0.3 g=20%,none,0.1706,266.7,2000,r2n10014,7.504,0.9759,22810.3,75654,17622.7,218149.5,32738.8,482089.6
r2n10015,50.77,63.6,65.31,U=0.6 g=23%,roller,0.1179,2168.5,2060 Warm,r2n10015,7.41,1.962,49677,84153.6,12421.3,235402.1,35118.9,596548.7
r2n10016,36.75,95.67,83.26,U=0.7 g=42%,screen,0.1544,471.8,2060 Warm,r2n10016,7.411,2.211,57827.4,86371.9,10695.5,239898.4,35738.9,634980.7
r2n10017,76.71,85.18,43.11,U=0.6 g=23%,roller,0.1266,891.1,2060 Warm,r2n10017,7.385,2.175,57222.3,84423.9,10995.6,237697.9,35506.8,639693.7
r2n10018,51.21,35.09,18.17,U=0.3 g=20%,none,0.1237,614.5,2000,r2n10018,7.522,0.9326,23618.3,81362.7,15814.9,222359,33017.5,512193.1
r2n10019,70.05,17.54,50.18,U=0.3 g=20%,screen,0.1551,100.7,2000,r2n10019,7.413,1.065,25092.2,75725.4,15989.2,216670.9,32468.2,490044.7
r2n10020,24.36,83.19,90.73,U=0.6 g=18%,none,0.1686,1170.8,2060 Warm,r2n10020,7.405,2.013,53502.5,82086.5,11437.3,233404.5,34933.2,607972.8
r2n10021,93.61,50.23,18.39,U=0.3 g=20%,none,0.1053,1658.4,2060,r2n10021,7.421,1.524,37368.9,84298.4,13590.1,230241,34183.3,586289.8
r2n10022,86.11,75.79,98.81,U=0.6 g=18%,none,0.1919,721.8,2060,r2n10022,7.424,2.519,46958.4,86812.6,10896.8,234217.6,34685.9,629048.8
r2n10023,93.93,95.06,68.38,U=0.6 g=23%,roller,0.1549,1022.2,2060,r2n10023,7.45,2.533,50941.2,90305.5,10366.3,239916.9,35415.4,656339.9
r2n10024,97.03,2.312,68.75,U=0.3 g=20%,roller,0.1776,1225.8,2060,r2n10024,7.34,1.056,31665.6,67116.6,16695.6,211413.2,32243.1,525973.5
r2n10025,46.84,92.71,71.94,U=0.7 g=42%,screen,0.1055,363.5,2060,r2n10025,7.478,2.285,45529,96623.5,11221,245935,35966.9,606678.3
r2n10026,73.12,80.28,17.63,U=0.6 g=18%,screen,0.156,1212.8,2000,r2n10026,7.471,1.812,32923.4,83943.3,11922.8,224086.5,33111.9,599329.8
r2n10027,4.729,55.47,12.79,U=0.6 g=18%,none,0.1697,2691.2,2060,r2n10027,7.393,0.9068,31232.9,65349.1,17743.3,210876.1,32293.6,532400.8
r2n10028,69.28,3.339,2.599,U=0.7 g=42%,none,0.107,2057.9,2000,r2n10028,7.642,0.4033,21494.1,82211.3,22144,233509.1,34941.5,475994
r2n10029,96.81,58.47,66.69,U=1.1 g=34%,roller,0.1398,2334.6,2060,r2n10029,7.41,2.145,41893.4,84138.7,12082.4,230041.7,34161,614761.4
r2n10030,66.19,71.68,94.03,U=0.6 g=18%,roller,0.1108,2683.2,2060,r2n10030,7.494,2.568,42587.5,94714.6,11522.2,242376.3,35489,619031.3
r2n10031,14.9,23.89,66.27,U=0.3 g=20%,none,0.1698,2163.2,2060 Warm,r2n10031,7.374,0.8795,38373.3,64938.4,18357.6,215819.3,33212.3,507137.4
r2n10032,88.9,78.64,49.04,U=0.3 g=20%,screen,0.1771,397.9,2000,r2n10032,7.445,2.146,35987.8,87399.8,11149.7,228758,33660.5,613231.2
r2n10033,4.5,85.35,25.93,U=0.7 g=42%,screen,0.1054,2464.5,2000,r2n10033,7.617,1.495,27654.4,95853.3,13491.2,238301.9,34665.5,570401
r2n10034,96.24,73.44,3.276,U=0.7 g=42%,screen,0.1008,1883.5,2060 Warm,r2n10034,7.381,1.73,53803.9,84414.3,11951.2,237354.8,35446.3,631693.4
r2n10035,12.89,97.55,35.31,U=0.6 g=23%,none,0.108,953.3,2060,r2n10035,7.511,1.765,41489.2,90870.7,12478.8,238746.2,35159,588251.7
r2n10036,95.76,91.63,52.8,U=0.6 g=23%,none,0.1618,363.4,2060 Warm,r2n10036,7.37,2.376,62435.6,83946.4,10283.7,238957.8,35772,668214.6
r2n10037,18.27,90.84,1.48,U=0.6 g=23%,screen,0.1873,2299.9,2000,r2n10037,7.486,1.382,30087.6,75983.1,13084.7,214752.5,32103.6,566019.3
r2n10038,34.3,90.36,65.94,U=1.1 g=34%,roller,0.118,2904.9,2060,r2n10038,7.507,2.183,42717.9,91747.2,11701.8,239154.1,35159.2,615733.9
r2n10039,63.16,70.31,82.01,U=0.7 g=42%,roller,0.1602,2049.7,2060,r2n10039,7.439,2.196,42147.9,84343.2,11845.1,230018,34140,608514.4
r2n10040,54.18,16.97,0.7851,U=0.3 g=20%,none,0.1904,504.5,2060 Warm,r2n10040,7.192,0.4906,38574.5,51792.4,20835,204342.5,32251.3,481755.4
r2n10041,90.2,86.99,21.7,U=0.6 g=23%,none,0.139,2673.4,2060,r2n10041,7.409,2.058,46081.8,83239.8,11453,230324.1,34286.5,641328.1
r2n10042,95.53,5.325,0.3641,U=0.3 g=20%,none,0.1503,2828.2,2000,r2n10042,7.483,0.5207,22721.3,68118.8,18947,211275.8,32135.2,500363.5
r2n10043,75.31,90.15,37.62,U=0.3 g=20%,screen,0.1437,2283,2060,r2n10043,7.432,2.177,46015.1,84907.7,11327.6,232096.3,34464.8,635375.9
r2n10044,93.61,38.12,10.69,U=0.6 g=18%,none,0.1776,545.8,2060 Warm,r2n10044,7.222,1.119,46472.3,62880.4,14350.9,210958.9,32513.8,552749
r2n10045,16.82,82.69,12.37,U=0.7 g=42%,none,0.1787,1889.5,2000,r2n10045,7.494,1.327,28738.2,76829.1,13418.7,215571.2,32180,559244.2
r2n10046,44.16,34.08,47.12,U=1.1 g=34%,none,0.124,357.8,2060,r2n10046,7.407,1.137,31889.4,78447.2,15759.9,223714.8,33502.1,509827
r2n10047,74.86,35.94,51.38,U=0.6 g=18%,none,0.1384,2723,2060,r2n10047,7.405,1.489,34072.9,77215.5,14320.7,220922.4,33104.9,565428.9
r2n10048,56.01,65.5,62.48,U=0.6 g=23%,screen,0.1015,2269.6,2060 Warm,r2n10048,7.433,2.032,50358.1,88718.3,12220.5,241029.7,35746.4,604777
r2n10049,93.96,29.78,82.1,U=1.1 g=34%,none,0.1848,1950.4,2000,r2n10049,7.466,1.584,27580.4,80250.5,13213.7,218691.2,32453.7,554439
r2n10050,64.73,83.45,95.22,U=0.7 g=42%,screen,0.1641,465.1,2060,r2n10050,7.442,2.386,46320.8,89442.3,10955.5,237152.2,34992.5,615094.8
r2n10051,1.926,46.61,38.3,U=0.3 g=20%,roller,0.1979,249,2060 Warm,r2n10051,7.258,0.9166,41082.3,59436.7,17614.7,209391.2,32519.3,490429.5
r2n10052,60.03,21.46,20.39,U=1.1 g=34%,screen,0.1092,1208.7,2060,r2n10052,7.463,0.8417,29723.7,78839,17846.1,226641.8,33993.3,513347.3
r2n10053,85.33,84.51,91.1,U=0.3 g=20%,screen,0.1342,2115.7,2000,r2n10053,7.548,2.797,36945.9,100798.7,10275.6,244135,35298.1,644003.6
r2n10054,75.22,84.07,20.76,U=0.6 g=23%,roller,0.1906,2028.7,2060 Warm,r2n10054,7.313,1.884,55955.6,72666.8,11464.4,223408.3,33927.8,638082.5
r2n10055,60.44,91.63,7.417,U=0.3 g=20%,roller,0.1609,2765,2060,r2n10055,7.394,1.781,43833.3,77356.6,12110,222974.7,33460.3,622629.1
r2n10056,43.95,16.82,45.53,U=1.1 g=34%,roller,0.1765,2391.8,2060 Warm,r2n10056,7.318,0.8317,38549.6,61039.4,18520.8,211462.7,32756.8,515372.3
r2n10057,38,79.71,92.03,U=0.6 g=18%,screen,0.1212,624.3,2060,r2n10057,7.486,2.379,42303.2,92943.1,11710.9,240382.1,35279.6,589702.2
