Name,Glasanteil_Süd_[%],Glasanteil_WestOst_[%],Glasanteil_Nord_[%],Produktwahl_Verglasung,Produktwahl_Verschattung,Dämmstärke_[m],VolSpez_Wärmekap_[kJ/m3K],Klimaszenario,,Anteil_Unzufrieden_[%],Tageslichtfaktor_[%],Kühlenergie_[kWh/Jahr],Heizenergie_[kWh/Jahr],Energie_Kunstlicht_[kWh/Jahr],Primärenergie_Total_[kWh/Jahr],Betriebskosten_[EUR/Jahr],Investitionskosten_[EUR]
run10070,37.65,66.65,29.88,U=0.7 g=42%,none,0.1372,2745.6,2060,run10070,7.552,5.71,108043.3,60848.8,7283.6,235956.3,37154.2,739876.1
run10071,4.53,20.8,28.22,U=0.7 g=42%,roller,0.1967,1208.2,2060,run10071,7.185,1.824,40070.5,47930.3,14232.6,191896.5,30345.8,512954.1
run10072,52.89,89.8,29.98,U=0.3 g=20%,roller,0.1684,2218.8,2000,run10072,7.243,3.804,57659.8,51937.3,8684.5,197300.9,30979.8,648225.2
run10073,90.21,18.44,76.59,U=0.6 g=18%,none,0.136,1096.7,2060,run10073,7.311,1.459,39372.4,72437.5,13277.7,219716.3,33286.3,588379
run10074,41.01,11.8,56.92,U=0.6 g=23% ,roller,0.1582,2024.6,2000,run10074,7.404,1.544,24879.8,65397.7,13398.2,202578.3,30805.5,503018
run10075,57.02,37.02,94.8,U=0.7 g=42%,roller,0.1757,2530.3,2060 Warm,run10075,7.441,5.502,109950.1,58545.8,6910.9,233678.6,36938.3,695921.6
run10076,8.277,59.47,39.22,U=0.6 g=23% ,roller,0.1566,1701.6,2060,run10076,7.367,2.784,44714.1,67505.1,10965.1,212728.2,32445.9,595588.7
run10077,54.84,88.93,75.02,U=0.6 g=18%,roller,0.1594,1310,2060 Warm,run10077,7.404,2.768,69773.2,82642.5,9915.5,244433.9,36860,741155.9
run10078,97.23,51.73,82.04,U=0.6 g=18%,screen,0.1696,2031,2060,run10078,7.345,2.385,51578.2,77219,10958.7,228700.8,34496.3,674735.1
run10079,86.22,37.47,94.25,U=1.1 g=34%,roller,0.14,1856,2060 Warm,run10079,7.462,6.042,79656.2,100871.1,6247,266037.6,39210.3,712930.5
run10080,65.88,8.949,82.87,U=1.1 g=34%,none,0.1349,813,2000,run10080,7.42,3.177,38153.1,89706.8,8079.1,230678.1,33812.3,585099.1
run10081,90.1,57.86,25.58,U=0.3 g=20%,screen,0.1677,180.8,2060,run10081,7.079,3.369,60085,47244.8,9840.7,195164.2,30987.3,647846.1
run10082,75.8,13.3,33.43,U=0.7 g=42%,none,0.127,2057.6,2000,run10082,7.139,2.935,54358.9,55446.4,9197.2,200536.3,31266.9,569558.2
run10083,26.32,56.18,66.82,U=0.7 g=42%,none,0.1651,681.7,2000,run10083,7.463,5.701,84166.1,63667.5,6787.6,224134.4,34805.2,657149.5
run10084,18.46,89.87,29.34,U=0.3 g=20%,screen,0.1918,1935.8,2060 Warm,run10084,7.209,3.208,70778.1,48375.9,9456,202333.3,32175.7,680048.2
run10085,43.95,67.95,74.05,U=0.3 g=20%,none,0.133,1927,2060 Warm,run10085,7.22,3.92,71497.7,53874.1,9178.9,208984.7,32908.9,663342.5
run10086,23.11,98.04,76.95,U=0.6 g=18%,screen,0.1069,2765.2,2060 Warm,run10086,7.466,2.574,66729.5,90968.4,10116.3,253149.8,37727.4,727380.1
run10087,35.49,28.52,24.27,U=0.7 g=42%,roller,0.1491,1095.4,2060,run10087,7.16,3.011,58554.5,53638.7,10239.8,202772.4,31817.1,576404.3
run10088,76.49,52.62,78.03,U=0.6 g=23% ,none,0.123,1673.2,2000,run10088,7.428,4.207,47215.7,80236.7,8303.9,224941.7,33573.2,644677.7
run10089,68.55,38.68,94.4,U=0.3 g=20%,screen,0.1902,2467.9,2060,run10089,7.128,3.164,51922.1,48261.5,10060.4,191903.2,30319.5,596465
run10090,58.68,66.9,92.1,U=0.6 g=18%,roller,0.1852,2506.4,2060 Warm,run10090,7.351,2.519,63398.3,77406.2,10483.3,235232.5,35649,689871.4
run10091,66.76,8.495,12.34,U=1.1 g=34%,roller,0.1167,2301.9,2060 Warm,run10091,7.308,1.955,47674.1,73190.6,11763.4,222951.4,33802.4,570988.7
run10092,17.1,12.15,24.7,U=0.3 g=20%,roller,0.1125,1882.2,2060 Warm,run10092,7.352,0.8619,38535.8,61204.2,19859.9,217393.9,33804.1,501705.5
run10093,54.62,9.295,52.54,U=0.6 g=18%,screen,0.179,2800.8,2060 Warm,run10093,7.242,0.8392,41957,56922.3,16695,208518.9,32572.3,546432.9
run10094,55.56,69.85,44.75,U=0.6 g=18%,none,0.1855,681.2,2060 Warm,run10094,7.292,2.21,61786.9,70571.5,11211.6,227228.8,34785.1,685010.3
run10095,0.4913,77.27,11.03,U=0.6 g=23% ,roller,0.1269,2827.5,2060 Warm,run10095,7.34,2.533,59314.5,71014.7,10257.1,224570.5,34272.7,650501
run10096,70.24,84.06,6.047,U=0.6 g=23% ,screen,0.1223,2702.3,2060,run10096,7.399,3.844,60515.4,75531.3,8695.5,227932.3,34498.9,710082
run10097,57.71,37.02,51.96,U=0.6 g=18%,none,0.152,896.7,2060,run10097,7.326,1.624,39586.4,69635.2,13576.2,216949.9,33024.3,587016.2
run10098,53.93,80.22,86.48,U=0.6 g=18%,none,0.1576,1866.7,2060,run10098,7.446,2.679,54473,84618.1,10503.1,238666.5,35664.2,691373.4
run10099,26,12.66,74.53,U=0.6 g=23% ,roller,0.1914,839.6,2000,run10099,7.388,1.587,24863,62260,13498.7,198913,30410.4,509576.3
run10100,92.76,48.89,56.83,U=0.3 g=20%,roller,0.159,2142.9,2060,run10100,7.08,3.494,60046.8,47511,9678.5,195171.6,30966.7,643878.4
r2n10001,44.64,8.114,22.54,U=0.7 g=42%,roller,0.1363,901.3,2060 Warm,r2n10001,7.072,1.731,53493.8,51424.4,12887.7,201865.2,31838.7,530930.6
r2n10002,50.95,72.9,68.93,U=1.1 g=34%,screen,0.124,1655.6,2060,r2n10002,7.601,7.368,54638.5,119332.6,6055.4,273189.5,38955.8,707610.5
r2n10003,16.18,40.85,9.223,U=0.6 g=18%,roller,0.1859,1989.7,2060 Warm,r2n10003,7.236,0.9429,43945.4,55277.8,16688.8,207686.3,32559.9,566537.9
r2n10004,49.83,87.58,80.34,U=0.7 g=42%,roller,0.1654,119.3,2060 Warm,r2n10004,7.999,8.005,161138.2,69552,5679.7,275622,43527,862663.5
r2n10005,53.26,45.72,11,U=1.1 g=34%,roller,0.1937,2702.4,2000,r2n10005,7.443,4.153,42616.2,80871.9,7716.5,221910.3,32978,629873.1
r2n10006,21.96,27.43,98.4,U=0.6 g=23% ,none,0.1244,1566.4,2060 Warm,r2n10006,7.334,2.631,49797,72523.5,10913.5,221887.4,33667.4,561911.4
r2n10007,66.29,17.77,60.27,U=0.3 g=20%,roller,0.1722,255.6,2000,r2n10007,7.138,1.942,31514.3,48931.4,12176.8,184233.3,28891.9,504416.1
r2n10008,72.01,42.11,86.07,U=1.1 g=34%,none,0.1746,2245.8,2060,r2n10008,7.481,5.938,74332.6,92481.6,6539.9,253054.5,37584.9,702119.3
r2n10009,86.54,90.37,35.79,U=0.3 g=20%,screen,0.1674,2304.8,2060,r2n10009,7.212,4.198,75461.3,50049.8,8474.1,205349.6,32576.2,735944.1
r2n10010,15.12,60.22,48.38,U=0.3 g=20%,none,0.1136,183.7,2000,r2n10010,7.336,2.923,37609.3,65236.8,11056.8,205803.2,31395.8,562270.1
r2n10011,49.7,74.9,15.27,U=0.7 g=42%,screen,0.1968,853.2,2060,r2n10011,7.329,5.684,78765.5,60529.4,6923.1,217358.4,33853.9,695487.4
r2n10012,18.09,60.99,69.18,U=0.7 g=42%,roller,0.1474,2336.6,2000,r2n10012,7.488,5.911,79695.6,68589.2,6680.3,227274.7,34958.1,635280.8
r2n10013,53.19,46.92,52.19,U=0.6 g=23% ,screen,0.1447,2575,2060 Warm,r2n10013,7.283,3.254,57506.9,68375,9686.9,219228.1,33536.4,631145.9
r2n10014,85.76,89.63,12.1,U=0.6 g=18%,roller,0.1295,2768.6,2060 Warm,r2n10014,7.373,2.357,71136,79009.9,10199,241323.9,36605.5,757459.3
r2n10015,95.97,85.26,30.36,U=1.1 g=34%,none,0.1327,1077.9,2000,r2n10015,7.7,7.414,89646.3,113372.9,4999.7,284952.9,41555.1,812868.2
r2n10016,76.76,15.52,55.99,U=0.3 g=20%,screen,0.1907,896.1,2060,r2n10016,7.054,1.866,40379.8,43920.9,12464.2,183996.7,29265.8,547229
r2n10017,61.94,48.83,93.19,U=0.7 g=42%,none,0.1841,776.1,2060,r2n10017,7.557,6.447,116913.4,59301.4,6585.1,238130.7,37671.8,765838
r2n10018,97.39,49.96,97.17,U=0.6 g=18%,screen,0.1261,1102.6,2060,r2n10018,7.384,2.504,51407,84401.8,10775.9,237053.7,35393.6,666148.1
r2n10019,93.21,49.06,56.86,U=0.6 g=23% ,none,0.1143,1392.4,2060,r2n10019,7.308,3.941,59027.8,73173.7,8945.7,224605.6,34099.7,673575.8
r2n10020,44.55,38.97,15.93,U=1.1 g=34%,roller,0.1626,1672.1,2060 Warm,r2n10020,7.294,3.687,59514.3,74336.9,8518.6,225614,34183.5,627137
r2n10021,22.47,33.31,95.87,U=0.6 g=18%,screen,0.1571,604.9,2060 Warm,r2n10021,7.324,1.602,47148.4,70814.9,13840.9,223471.8,34092.7,554627.9
r2n10022,64.69,91.42,29.59,U=0.7 g=42%,roller,0.1383,2682,2060,r2n10022,7.837,7.281,145397.1,65383.5,5996.6,261593.3,41363.7,842766.9
r2n10023,57.67,95.18,10.15,U=0.7 g=42%,roller,0.1113,1478.8,2000,r2n10023,7.697,6.643,121848.3,70818.8,5568.5,253281.5,39425.2,786919.3
r2n10024,98.24,77.2,71.31,U=1.1 g=34%,none,0.1824,497.4,2060 Warm,r2n10024,7.799,8.13,122540.9,107701.5,5347.8,298507.2,44450.9,888258.9
r2n10025,17.3,99.37,27.89,U=1.1 g=34%,roller,0.1626,2531,2060 Warm,r2n10025,7.592,6.042,89346.6,101734.1,6048.8,272558.9,40305,778265.9
r2n10026,70.39,54.71,77.47,U=0.6 g=23% ,roller,0.1247,1587.8,2000,r2n10026,7.443,4.199,46040.7,81253,8343.1,225551.5,33597.7,641710.3
r2n10027,12.81,36.93,34.34,U=0.3 g=20%,none,0.1984,1444.3,2000,r2n10027,7.276,1.748,28022.2,48405,13697.5,184233.5,28935.6,509185.5
r2n10028,53.96,42.14,47.56,U=0.7 g=42%,roller,0.1849,1.264,2060,r2n10028,7.27,4.837,93005.4,54424.7,7877.7,220155.3,34861.5,623163.4
r2n10029,67.03,73.24,23.68,U=0.6 g=23% ,none,0.1681,2346.3,2060,r2n10029,7.309,3.853,63872.2,65739.4,8927.4,218395.7,33606.6,700551.9
r2n10030,66.65,20.6,34.45,U=0.3 g=20%,none,0.1528,690.6,2000,r2n10030,7.195,1.859,29918.9,50668.6,12618.2,186194.4,29098.3,514092.8
r2n10031,50.1,38.98,16.33,U=0.6 g=23% ,screen,0.1698,78.37,2060,r2n10031,7.195,2.369,42002.1,59672.7,11760.2,202957.5,31349,548346
r2n10032,44,14.16,66.02,U=0.6 g=23% ,none,0.1596,882.3,2000,r2n10032,7.373,1.795,26785.6,65774.3,12515.5,202592.8,30776.7,515396
r2n10033,54.73,43.99,94.24,U=0.3 g=20%,screen,0.1637,170.3,2060 Warm,r2n10033,7.113,3.344,63138,50374.7,9743.6,200708.7,31719.1,599685.8
r2n10034,97.48,51.57,69.99,U=0.6 g=23% ,roller,0.1739,2015.7,2060 Warm,r2n10034,7.288,4.107,75195.1,66763.2,8235.4,225252.6,34748.1,706638.8
r2n10035,38.55,26.09,20.35,U=0.6 g=18%,roller,0.1102,2642.9,2060,r2n10035,7.436,1.01,31922.1,74333,16832.1,223958.9,33887.7,556866.4
r2n10036,1.746,37.75,92.17,U=1.1 g=34%,roller,0.1021,1032,2060 Warm,r2n10036,7.493,4.564,56516.8,102304.3,7956.6,256993.7,37473.2,596439.9
r2n10037,49.43,11.06,49.5,U=0.7 g=42%,roller,0.178,2263.6,2060 Warm,r2n10037,7.074,2.478,65086.4,47986.7,10091.5,199584.6,31716.4,571536.2
r2n10038,71.68,86.39,62.24,U=0.6 g=18%,none,0.1139,2772.8,2060 Warm,r2n10038,7.416,2.786,70015.9,86432.8,9886.9,249161.6,37391,747339.9
r2n10039,49.46,52.73,34.93,U=0.3 g=20%,roller,0.1407,2844.7,2000,r2n10039,7.286,2.94,38869.4,55196,10719.8,193675.5,30060.7,579446.7
r2n10040,17.89,95.66,93.47,U=0.7 g=42%,none,0.1791,1630,2060 Warm,r2n10040,8.184,7.304,160730.2,69908.9,5698.8,275851.1,43538.1,887761.6
r2n10041,69.04,26.03,16.24,U=0.3 g=20%,screen,0.1894,800.5,2060,r2n10041,7.04,1.857,39972.9,42598.9,13119.8,183319.9,29254.4,552837.8
r2n10042,70.72,68.39,53.26,U=1.1 g=34%,none,0.1524,1212.3,2060,r2n10042,7.604,7.001,88701.9,98983.9,6107.1,268847.9,39869.6,784123.9
r2n10043,70.99,39.05,70.28,U=1.1 g=34%,screen,0.1843,2867.8,2000,r2n10043,7.61,5.341,37747,106814.4,6332.3,248203.1,35525.9,670139.5
r2n10044,76.11,29.51,67.52,U=0.6 g=18%,roller,0.132,360.9,2000,r2n10044,7.398,1.651,31073.1,80452.6,12778.6,223576.6,33311.1,591778
r2n10045,92.93,54.07,31.97,U=0.6 g=18%,screen,0.1766,2124.5,2060 Warm,r2n10045,7.251,2.037,61133.5,67591.3,11324.6,223393.9,34346.7,679866.2
r2n10046,7.054,60.13,62.18,U=1.1 g=34%,roller,0.1153,2488.9,2000,r2n10046,7.654,5.378,42248.4,111721.9,6846.4,257823.7,36839.3,661868.6
r2n10047,68.63,65.92,31.03,U=1.1 g=34%,roller,0.1883,1569.8,2060 Warm,r2n10047,7.457,6.119,85437.9,90721,6338,257269.8,38485.2,750829
r2n10048,36.72,88.98,17.21,U=0.7 g=42%,none,0.1978,1846.6,2060,r2n10048,7.779,5.858,134979.6,57208.7,6571.3,246384.6,39322.2,833288.7
r2n10049,74.91,84.84,30.94,U=0.3 g=20%,none,0.1771,1732.9,2060 Warm,r2n10049,7.212,3.894,86304.8,46496.6,8580.3,207772.9,33305.1,736605.1
r2n10050,27.5,57.95,65.2,U=0.6 g=23% ,roller,0.1204,603.2,2060 Warm,r2n10050,7.324,3.602,61029.8,74410.7,9464.8,228320.3,34661.4,637648.4
r2n10051,51.74,39.13,90.74,U=0.6 g=18%,none,0.1349,1165.6,2060,r2n10051,7.398,1.909,41070.6,78613.5,12728.8,227287.2,34127.5,596282.5
r2n10052,25.32,4.464,75.6,U=1.1 g=34%,screen,0.1325,980.6,2000,r2n10052,7.626,1.955,23994.6,92970.5,11027.7,231480.5,33684.8,519848.5
r2n10053,66.03,82.41,75.1,U=0.7 g=42%,roller,0.1269,862.2,2060 Warm,r2n10053,7.999,8.314,161222,70063.8,5674.7,276291.8,43604.2,883077.4
r2n10054,85.87,96.48,9.335,U=0.7 g=42%,none,0.1373,403,2000,r2n10054,7.995,7.039,151221.9,66600.7,5219.5,265121.4,41893.7,878439.9
r2n10055,73.86,37.5,63.79,U=0.6 g=18%,none,0.1255,2874.4,2000,r2n10055,7.474,1.831,31462.1,83114.7,12413.1,226411.3,33596.7,608475.5
r2n10056,83.01,34.03,53.9,U=0.7 g=42%,none,0.1281,325.9,2060 Warm,r2n10056,7.451,5.388,116341.3,57758.5,7202.3,237075,37611.1,726680.7
r2n10057,65,75.12,65.51,U=1.1 g=34%,none,0.1522,783.5,2000,r2n10057,7.656,7.559,77424.4,112692.1,5260.4,277253.5,40234.6,762746.6
